Title,Release_Date,Expired_Date,Activity_Code,Organization,Parent_Organization,Participating_Orgs,Document_Number,Document_Type,Clinical_Trials,URL
"Notice of Intent to Publish a Funding Opportunity Announcement for Collaborative Initiative on Fetal Alcohol Spectrum Disorders (CIFASD), Diagnostic-Telemedicine Core (U24 Clinical Trial Not Allowed)",4/14/2021,,,NIAAA,NIH,None,NOT-AA-21-022,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AA-21-022.html
"Notice of Intent to Publish a Funding Opportunity Announcement for Collaborative Initiative on Fetal Alcohol Spectrum Disorders (CIFASD), Administrative Core (U24) (Clinical Trial Not Allowed)",4/14/2021,,,NIAAA,NIH,None,NOT-AA-21-021,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AA-21-021.html
"Notice of Intent to Publish a Funding Opportunity Announcement for Collaborative Initiative on Fetal Alcohol Spectrum Disorders (CIFASD), Research Project (U01 Clinical Trial optional)",4/14/2021,,,NIAAA,NIH,None,NOT-AA-21-020,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AA-21-020.html
"Notice of NIAAA Participation in NOT-OD-21-086 ""Notice of Intent to Reissue PAR-18-324 ""Testing Interventions for Health-Enhancing Physical Activity (R01 - Clinical Trial Optional)"" as a Notice of Special Interest (NOSI)""",4/14/2021,,,NIAAA,NIH,None,NOT-AA-21-015,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AA-21-015.html
Request for Information (RFI): Research Challenges and Needs in Developing Chronomedicine for Health and Diseases,4/13/2021,,,NCI,NIH,"NHLBI, NIDA, NINDS",NOT-CA-21-042,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-21-042.html
Updated NCI Guidance Concerning the Mentored Clinical Scientist Research Career Development Award: Percent Effort of Surgeon-Scientists for K08 awards from NCI,4/13/2021,,,NCI,NIH,None,NOT-CA-21-054,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-21-054.html
Notice of Intent to Publish a Funding Opportunity Announcement for Non-Human Primate Developmental Genotype-Tissue Expression (NHP dGTEx) Project (U24 Clinical Trials Not Allowed),4/13/2021,,,NHGRI,NIH,NIMH,NOT-HG-21-027,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HG-21-027.html
Notice of Addition of Requested Institutional Information for RFA-RM-21-022 - Transformative Research to Address Health Disparities and Advance Health Equity at Minority Serving Institutions,4/13/2021,,,RMOD,NIH,None,NOT-RM-21-026,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-RM-21-026.html
"Notice of Clarification of Resubmission Due dates for RFA-RM-21-012, Pilot Projects Investigating Understudied G Protein-Coupled Receptors, Ion Channels, and Protein Kinases (R03 Clinical Trial Not Allowed)",4/13/2021,7/15/2021,,RMOD,NIH,None,NOT-RM-21-024,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-RM-21-024.html
Notice of Pre-Application Webinar for Funding Opportunities on Transformative Research to Address Health Disparities and Advance Health Equity,4/12/2021,,,RMOD,NIH,None,NOT-RM-21-025,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-RM-21-025.html
"Notice to Extend the Response Date for NOT-OD-21-066, ""Request for Information (RFI): Inviting Comments and Suggestions to Advance and Strengthen Racial Equity, Diversity, and Inclusion in the Biomedical Research Workforce and Advance Health Disparities and Health Equity Research""",4/9/2021,,,NIH,NIH,None,NOT-OD-21-105,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-105.html
"Notice of Information  Reissuance of PAR-18-324, ""Testing Interventions for Health-Enhancing Physical Activity (R01-Clinical Trial Optional)"" as a Notice of Special Interest (NOT-OD-21-087)",4/9/2021,,,ODP,NIH,"NCCIH, NCI, NIA, NIAAA, NICHD, NIMHD, NINR, OBSSR, ORWH",NOT-OD-21-086,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-086.html
"Notice of Information  Reissuance of PAR-18-307, ""Developing Interventions for Health-Enhancing Physical Activity (R21/R33 - Clinical Trial Optional), as a Notice of Special Interest (NOT-OD-21-087)",4/9/2021,,,ODP,NIH,"ORWH, NCCIH, NCI, NIA, NIAAA, NICHD, NINR, OBSSR",NOT-OD-21-085,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-085.html
Notice of Special Interest (NOSI): Improving Patient Adherence to Treatment and Prevention Regimens to Promote Health,4/8/2021,6/7/2024,"R01,R21,R03,R41/R42,R43/R44,R21/R33,UG3/UH3,R34",OBSSR,NIH,"NIMHD, NIDA, NIMH, ORWH, NIDCD, SGMRO, ODP, NIA, NHLBI, NCI, NINR, NCCIH, NEI, NICHD",NOT-OD-21-100,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-100.html
BRAIN Initiative: Reagent Resources for Brain Cell Type-Specific Access and Manipulation to Broaden Distribution of Enabling Technologies for Neuroscience (U24 Clinical Trial Not Allowed),4/8/2021,10/23/2023,U24,NIMH,NIH,"NINDS, NIA, NIAAA, NCCIH, NIDA, NIBIB, NEI, NICHD, NIDCD",RFA-MH-21-180,RFA,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-21-180.html
National Institute of General Medical Sciences (NIGMS) Bridges to the Doctorate (T32),4/8/2021,9/27/2023,T32,NIGMS,NIH,None,PAR-21-198,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-21-198.html
NINDS Faculty Development Award to Promote Diversity in Neuroscience Research (K01 Clinical Trial Required),4/8/2021,5/7/2024,K01,NINDS,NIH,None,PAR-21-153,PAR,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-21-153.html
Notice of Intent to Publish a Funding Opportunity Announcement for Research Opportunity Announcement for the Data Generation Projects of the NIH Bridge to Artificial Intelligence (Bridge2AI) Program (OT2),4/8/2021,,,RMOD,NIH,None,NOT-RM-21-022,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-RM-21-022.html
"Notice of Intent to Publish a Funding Opportunity Announcement for NIH Bridge2AI Integration, Dissemination, and Evaluation (BRIDGE) Center (U54 Clinical Trial Not Allowed)",4/8/2021,,,RMOD,NIH,None,NOT-RM-21-021,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-RM-21-021.html
Notice of Participation of the National Institute on Alcohol Abuse and Alcoholism (NIAAA) in PA-21-110 Pilot and Feasibility Studies in Preparation for Substance Use Preventions Trials (R34 Clinical Trial Optional),4/6/2021,,,NIAAA,NIH,None,NOT-AA-21-019,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AA-21-019.html
Notice of Special Interest (NOSI): Developing and Testing Multilevel Physical Activity Interventions to Improve Health and Well-Being,4/6/2021,2/15/2024,"R01,R21,Admin Supp,R03",ODP,NIH,"NIAMS, NICHD, NIDCD, NIMH, NIMHD, NINR, OBSSR, ORWH, NCCIH, NCI, NIA, NIAAA",NOT-OD-21-087,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-087.html
NINDS Program Project Grant (P01 Clinical Trial Optional),4/5/2021,5/7/2024,P01,NINDS,NIH,None,PAR-21-181,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-21-181.html
Research Experiences to Enhance Clinician-Scientists' Participation in NIDCDs Research (R25 Clinical Trial Not Allowed),4/5/2021,1/29/2024,R25,NIDCD,NIH,None,PAR-21-188,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-21-188.html
NIH Blueprint for Neuroscience Research: Request for Information (RFI) on Neuroimmune Interactions in the Healthy CNS,4/5/2021,,,NIAAA,NIH,"NIDCR, NINR, OBSSR, NIMH, NIBIB, NIDA, NIA, NEI, NINDS, NICHD, NIEHS, NCCIH",NOT-AA-21-012,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AA-21-012.html
Change to NINDS Administrative Reduction Policy for Modular R01 Awards,4/5/2021,,,NINDS,NIH,None,NOT-NS-21-053,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-21-053.html
Notice of Addition of Clinical Research Operations and Management System (CROMS) Language in PAR-20-309 Alzheimer's Clinical Trials Consortium (ACTC) Clinical Trials (R01 Clinical Trial Required),4/5/2021,,,NIA,NIH,None,NOT-AG-21-021,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AG-21-021.html
"Notice of Intent to Publish the Reissuance of PAR-18-420, NINDS Exploratory Clinical Trials (U01 - Clinical Trial Required)",4/5/2021,,,NINDS,NIH,None,NOT-NS-21-054,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-21-054.html
RESCINDED - Reminders of NIH Policies Related to Closeout,4/2/2021,,,NIH,NIH,None,NOT-OD-21-102,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-102.html
Notice of Participation of the National Institute of Allergy and Infectious Diseases (NIAID) in PAR-21-109 Early Stage Investigator Research Using Nonhuman Primate (NHP) Models (R21 Clinical Trial Not Allowed),4/2/2021,,,NIAID,NIH,None,NOT-AI-21-047,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-21-047.html
"Notice of Change to Expiration Date for OBSSR RFA-OD-21-005 ""Short Courses on Innovative Methodologies and Approaches in the Behavioral and Social Sciences (R25 - Independent Clinical Trial Not Allowed)",4/2/2021,,,OBSSR,NIH,None,NOT-OD-21-096,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-096.html
"Notice of Clarification of Eligibility Regarding Foreign Components for PAR-19-257, ""Limited Competition: Small Grant Program for NIAMS K08 and K23 Recipients (R03)""",4/2/2021,,,NIAMS,NIH,None,NOT-AR-21-021,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AR-21-021.html
"Notice of Correction to Key Dates of NOT-MH-21-105, Notice of Special Interest: Advancing Health Communication Research on HIV Prevention, Treatment and Cure",4/2/2021,,,NIMH,NIH,None,NOT-MH-21-255,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-21-255.html
"Notice of Extension to PAR-18-894, ""Mental Health Research Dissertation Grant to Enhance Workforce Diversity (R36 Independent Clinical Trial Not Allowed)""",4/2/2021,,,NIMH,NIH,None,NOT-MH-21-250,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-21-250.html
"Notice of Intent to Publish the Reissuance of RFA-NS-18-019, BRAIN Initiative: Optimization of Transformative Technologies for Recording and Modulation in the Nervous System (U01 Clinical Trials Not Allowed)",4/2/2021,,,NINDS,NIH,"NIDA, NIBIB, NIA, OBSSR, NIAAA, NEI, NCCIH, NIDCD, NIMH, NICHD",NOT-NS-21-052,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-21-052.html
The National Institutes of Health (NIH) Sexual & Gender Minority Research Office Request for Nominations for 2021 SGM Research Investigator Awards Program,4/2/2021,,,NIH,NIH,None,NOT-OD-21-099,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-099.html
"Notice of Intent to Publish the Reissuance of RFA-NS-18-020, BRAIN Initiative: Novel Technologies and Approaches for Recording and Modulation in the Nervous System (R01 Clinical Trial Not Allowed)",4/2/2021,,,NINDS,NIH,"NIDA, NIBIB, NCCIH, NIA, OBSSR, NIAAA, NEI, NIDCD, NICHD, NIMH",NOT-NS-21-051,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-21-051.html
"Notice of Intent to Publish the Reissuance of PAR-18-422, NINDS Efficacy Clinical Trials (UG3/UH3 Clinical Trial Required)",4/2/2021,,,NINDS,NIH,None,NOT-NS-21-055,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-21-055.html
Registration is Now Open for the 2021 HHS Small Business Program Conference on April 26-30!,4/1/2021,5/3/2021,,NIH,NIH,None,NOT-OD-21-098,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-098.html
Pilot Effectiveness Trials for Post-Acute Interventions and Services to Optimize Longer-term Outcomes (R34 Clinical Trial Required),4/1/2021,3/16/2024,R34,NIMH,NIH,None,PAR-21-211,PAR,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-21-211.html
Effectiveness Trials for Post-Acute Interventions and Services to Optimize Longer-term Outcomes (R01 Clinical Trial Required),4/1/2021,3/5/2024,R01,NIMH,NIH,None,PAR-21-210,PAR,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-21-210.html
Mentoring Networks to Enhance Diversity in NIDCD's Extramural Research Workforce (R25 Clinical Trial Not Allowed),4/1/2021,1/29/2024,R25,NIDCD,NIH,None,PAR-21-185,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-21-185.html
"Notice of Change to Key Dates for NIDA PAR-21-183, "" Developing Digital Therapeutics for Substance Use Disorders (UG3/UH3 Clinical Trial optional)""",4/1/2021,12/6/2023,,NIDA,NIH,None,NOT-DA-21-042,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-21-042.html
Innovative Programs to Enhance Research Training (IPERT) (R25 Independent Clinical Trial Not Allowed),3/31/2021,10/13/2023,R25,NIGMS,NIH,None,PAR-21-196,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-21-196.html
"Notice of Change: Extension of PA-18-926, Primary Caregiver Technical Assistance Supplements (PCTAS) (Admin Supp Clinical Trial Optional)",3/31/2021,,,NIAID,NIH,None,NOT-AI-21-042,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-21-042.html
Notice of Special Interest (NOSI): Identification of Biomarkers of HIV Pathogenesis and Substance Use Disorder Comorbidity,3/31/2021,9/7/2024,"R01,R21,DP2,DP1,K99/R00,K01,R36,P01,R15,K24",NIDA,NIH,None,NOT-DA-21-014,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-21-014.html
Research on Autism Spectrum Disorders (R01 Clinical Trial Optional),3/31/2021,3/5/2024,R01,NIMH,NIH,"NICHD, NIDCD, NINDS, NIEHS",PA-21-201,PA,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-21-201.html
Research on Autism Spectrum Disorders (R21 Clinical Trial Optional),3/31/2021,3/16/2024,R21,NIMH,NIH,"NIEHS, NICHD, NIDCD, NINDS",PA-21-200,PA,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-21-200.html
Research on Autism Spectrum Disorders (R03 Clinical Trial Optional),3/31/2021,3/16/2024,R03,NIMH,NIH,"NIDCD, NIEHS, NICHD",PA-21-199,PA,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-21-199.html
2021 NIAID Omnibus Broad Agency Announcement HHS-NIH-NIAID-BAA2021-1 Now Available,3/31/2021,,,NIAID,NIH,None,NOT-AI-21-045,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-21-045.html
Notice of Intent to Publish a Funding Opportunity Announcement for The Early Detection Research Network: Biomarker Characterization Centers (U2C Clinical Trial Not Allowed),3/31/2021,,,NCI,NIH,None,NOT-CA-21-050,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-21-050.html
Notice of Intent to Publish a Funding Opportunity Announcement: Early Detection Research Network (EDRN)  Clinical Validation Centers,3/31/2021,,,NCI,NIH,None,NOT-CA-21-051,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-21-051.html
Notice of Intent to Publish a Funding Opportunity Announcement: Early Detection Research Network (EDRN)  Data Management and Coordinating Center,3/31/2021,,,NCI,NIH,None,NOT-CA-21-052,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-21-052.html
"Notice of Change to Key Dates for NIDA PAR-21-208, "" Cutting-Edge Basic Research Awards (CEBRA) (R21 Clinical Trial Optional)""",3/31/2021,3/8/2024,,NIDA,NIH,None,NOT-DA-21-043,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-21-043.html
"Notice of Participation of NIMH in NOT-EY-21-001, ""Notice of Special Interest (NOSI): National Research Service Award (NRSA) F32 Postdoctoral Fellowship Applications from Individuals from Diverse Backgrounds, Including Under-Represented Minorities""",3/31/2021,,,NIMH,NIH,None,NOT-MH-21-245,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-21-245.html
Notice of Intent to Publish a Funding Opportunity Announcement for New Investigators to Promote Workforce Diversity in Genomics and other Health-Related Research (R01 Clinical Trial Optional),3/31/2021,,,NHGRI,NIH,None,NOT-HG-21-024,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HG-21-024.html
NIDCD's Mentoring Networks to Enhance Clinician-Scientists' Participation in Research (R25 Clinical Trial Not Allowed),3/31/2021,1/29/2024,R25,NIDCD,NIH,None,PAR-21-187,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-21-187.html
"Notice of Correction to NOT-OD-21-071 Administrative Supplements and Urgent Competitive Revisions for NIH Grants to Add or Expand Research Focuses on Maternal Health, Structural Racism and Discrimination, and COVID-19",3/30/2021,,,NIH,NIH,None,NOT-OD-21-090,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-090.html
"Notice of Expansion of Research Scope of RFA-AI-21-004 ""Tropical Medicine Research Centers (U01 Clinical Trial Not Allowed)",3/30/2021,,,NIAID,NIH,None,NOT-AI-21-044,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-21-044.html
"Notice of NIGMS Funding Priorities for PAR-19-301 ""Limited Competition: NIGMS National and Regional Resources (R24 Clinical Trial Not Allowed)""",3/30/2021,,,NIGMS,NIH,None,NOT-GM-21-036,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-GM-21-036.html
Notice of Intent to Publish a Research Opportunity Announcement for RADx-UP Return to School Diagnostic Testing Approaches (OT2 Clinical Trial Optional),3/29/2021,,,NIH,NIH,None,NOT-OD-21-097,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-097.html
"Notice of Change to Funding Opportunities for NOT-EB-20-017, ""Notice of Special Interest (NOSI): Synthetic Biology for Biomedical Applications""",3/29/2021,,,NICHD,NIH,None,NOT-HD-21-017,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HD-21-017.html
"Notice of Change in Advisory Council Review for RFA-MD-21-006 ""Innovations for Healthy Living - Improving Minority Health and Eliminating Health Disparities (R43/R44 - Clinical Trial Optional)""",3/29/2021,,,NIMHD,NIH,None,NOT-MD-21-017,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MD-21-017.html
"Updated Notice of Information: NHLBI Extensions for Career Development Award (K01, K08, K23, K25) Recipients Whose Career Trajectories Have Been Significantly Impacted by COVID-19",3/29/2021,,,NHLBI,NIH,None,NOT-HL-21-009,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-21-009.html
Notice of Intent to Publish a Funding Opportunity Announcement for Joint NINDS and NIMH Exploratory Neuroscience Research Grant (R21 Clinical Trial Optional),3/29/2021,,,NINDS,NIH,NIMH,NOT-NS-21-050,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-21-050.html
RESCINDED - Extending the Special Exception to the NIH/AHRQ/NIOSH Post-Submission Material Policy During the COVID-19 Pandemic: January 2022 Council,3/29/2021,,,NIH,NIH,None,NOT-OD-21-095,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-095.html
Notice of Intent to Publish a Funding Opportunity Announcement for Radiation Oncology-Biology Integration Network (ROBIN) Centers (U54 Clinical Trial Required),3/29/2021,,,NCI,NIH,None,NOT-CA-21-045,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-21-045.html
Notice of Special Interest (NOSI): Deciphering the Mosaic of Glia in the Addicted Brain,3/29/2021,9/9/2024,"R21,R01,R15",NIDA,NIH,None,NOT-DA-21-001,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-21-001.html
"Notice of Extension of Application Due Date for RFA-DK-20-034, ""Program to Advance the Career Development of Scientists from Diverse Backgrounds Conducting Nutrition, Obesity, Diabetes, and Related Research (U24 Clinical Trial Optional)""",3/26/2021,,,NIDDK,NIH,None,NOT-DK-21-017,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DK-21-017.html
"Notice of Pre-Application Information Webinar for PAR-21-092, ""NIDA Translational Avant-Garde Award for Development of Medication to Treat Substance Use Disorders (UG3/UH3 Clinical Trial Optional)""",3/26/2021,,,NIDA,NIH,None,NOT-DA-21-025,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-21-025.html
"Notice of Special Interest (NOSI): Stimulate Research on the Diagnosis, Treatment, and Mechanistic Understanding of Postural Orthostatic Tachycardia Syndrome (POTS)",3/26/2021,5/7/2024,R01,NHLBI,NIH,NINDS,NOT-HL-21-008,NOSIS,Optional,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-21-008.html
"Notice of Change to AIDS Date of RFA-MH-21-120, ""Mental Health Research Awards for Investigators Early in their Career in Low and Middle-Income Countries (R01 Clinical Trial Optional)""",3/26/2021,,,NIMH,NIH,None,NOT-MH-21-240,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-21-240.html
"Notice of Change: Change in Data Table Submission Requirements for PAR-21-120, Global Infectious Disease Research Training Program (D43 Clinical Trial Optional)",3/26/2021,,,FIC,NIH,None,NOT-TW-21-005,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-TW-21-005.html
"Notice of Early Expiration of PA-19-068, Secondary Analysis of Existing Datasets for Advancing Infectious Disease Research (R21 Clinical Trial Not Allowed)",3/26/2021,,,NIAID,NIH,None,NOT-AI-21-040,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-21-040.html
"Notice of Intent to Publish a Funding Opportunity Announcement for PHS 2021 Omnibus Solicitations of the NIH, CDC, and FDA for Small Business Innovation Research (SBIR) and Small Business Technology Transfer (STTR) Grant Applications",3/26/2021,,,NIH,NIH,None,NOT-OD-21-083,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-083.html
Request for Information: Challenges and Opportunities in Understanding Cellular Senescence and Senolytics,3/26/2021,,,RMOD,NIH,None,NOT-RM-21-016,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-RM-21-016.html
Cutting-Edge Basic Research Awards (CEBRA) (R21 Clinical Trial Optional),3/26/2021,3/8/2024,R21,NIDA,NIH,None,PAR-21-208,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-21-208.html
"Notice of NICHD Participation in PAR-21-100, ""Music and Health: Understanding And Developing Music Medicine (R01 Clinical Trial Optional)""",3/25/2021,,,NICHD,NIH,None,NOT-HD-21-023,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HD-21-023.html
"Notice of NICHD Participation in PAR-21-099, ""Music and Health: Understanding And Developing Music Medicine (R21 Clinical Trial Optional)",3/25/2021,,,NICHD,NIH,None,NOT-HD-21-022,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HD-21-022.html
"Notice of NICHD Participation in PAR-20-266, ""Promoting Research on Music and Health: Phased Innovation Award for Music Interventions (R61/R33 Clinical Trial Optional)""",3/25/2021,,,NICHD,NIH,None,NOT-HD-21-021,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HD-21-021.html
Academic-Industrial Partnerships for Translation of Technologies for Diagnosis and Treatment (R01 - Clinical Trial Not Allowed),3/25/2021,1/7/2024,R01,NCI,NIH,"NIBIB, NIDCR",PAR-21-166,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-21-166.html
Academic-Industrial Partnerships for Translation of Technologies for Diagnosis and Treatment (R01 - Clinical Trial Optional),3/25/2021,5/7/2024,R01,NCI,NIH,None,PAR-21-206,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-21-206.html
NHGRI Predoctoral to Postdoctoral Transition Award for a Diverse Genomics Workforce (F99/K00),3/25/2021,4/8/2024,F99/K00,NHGRI,NIH,None,PAR-21-143,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-21-143.html
Notice of Special Interest (NOSI): Synthetic Psychoactive Drugs and Strategic Approaches to Counteract Their Deleterious Effects,3/25/2021,9/7/2024,"R01,R21,R03",NIDA,NIH,None,NOT-DA-21-028,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-21-028.html
"Notice of Change to the Application Due Date(s) for PAR-20-083 titled ""Enhancing Regulatory Science for Advancing Pharmaceutical Quality and Manufacturing (U01) Clinical Trials Optional.",3/25/2021,,,FDA,FDA,None,NOT-FD-21-013,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-FD-21-013.html
Updated Notice of Limited Availability of Research Non-Human Primates,3/24/2021,,,ORIP,NIH,None,NOT-OD-21-080,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-080.html
Notice of Information: NIAAA Clinical Medications Development Testing Program,3/24/2021,,,NIAAA,NIH,None,NOT-AA-21-008,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AA-21-008.html
"Notice of Special Interest (NOSI): Basic Research on Fentanyl and Synthetic Fentanyl Analogs: Signaling, Neurobiology, and Pharmacology",3/24/2021,9/7/2024,"R01,R21",NIDA,NIH,None,NOT-DA-21-033,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-21-033.html
Developing Digital Therapeutics for Substance Use Disorders (UG3/UH3 Clinical Trial optional),3/23/2021,12/6/2023,UG3/UH3,NIDA,NIH,None,PAR-21-183,PAR,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-21-183.html
"Notice of Change to Eligibility Information in RFA-AI-20-080,  ""Human Immunology Project Consortium (HIPC) Coordinating Center (U01 Clinical Trial Not Allowed)""",3/23/2021,,,NIAID,NIH,None,NOT-AI-21-043,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-21-043.html
"Notice of Early Expiration of PAR-19-346 ""Investigations on Primary Immunodeficiency Diseases/Inborn Errors of Immunity (R21 Clinical Trial Not Allowed)""",3/23/2021,,,NIAID,NIH,None,NOT-AI-21-033,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-21-033.html
"Notice of Early Expiration of PAR-19-347 ""Investigations on Primary Immunodeficiency Diseases/Inborn Errors of Immunity (R03 Clinical Trial Not Allowed)""",3/23/2021,,,NIAID,NIH,None,NOT-AI-21-034,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-21-034.html
Notice of Special Interest (NOSI):  Investigations on Inborn Errors of Immunity/Primary Immunodeficiencies,3/23/2021,5/7/2024,"R01,R21,R03",NIAID,NIH,None,NOT-AI-21-032,NOSIS,Not_Allowed,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-21-032.html
Limited Competition: Alzheimers Disease Sequencing Project Follow-Up Study 2.0 (ADSP FUS 2.0): The Diverse Population Initiative (U01 Clinical Trial Not Allowed),3/23/2021,5/7/2024,U01,NIA,NIH,None,PAR-21-212,PAR,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-21-212.html
RESCINDED - Continued Extension of Certain Flexibilities for Prospective Basic Experimental Studies With Human Participants,3/23/2021,,,NIH,NIH,None,NOT-OD-21-088,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-21-088.html
"Notice of Clarification of Research Priorities for RFA-AA-21-004 ""SARS-CoV-2, COVID-19 and Consequences of Alcohol Use (R21 Clinical Trial Not Allowed)""",3/23/2021,,,NIAAA,NIH,None,NOT-AA-21-011,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AA-21-011.html
"Notice of Change to Key Dates for RFA-NS-20-006 ""BRAIN Initiative: Biology and Biophysics of Neural Stimulation and Recording Technologies (R01 Clinical Trials Optional)""",3/23/2021,,,NINDS,NIH,NCCIH,NOT-NS-21-046,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-21-046.html
